Model,Accuracy,Precision,Recall,F1
SVM (RBF),0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219
Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95
Neural Network,0.9649122807017544,1.0,0.9047619047619048,0.95
Gaussian NB,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888
